accurateCrosses,accurateFinalThirdPassesAgainst,accurateLongBalls,accurateOppositionHalfPasses,accurateOppositionHalfPassesAgainst,accurateOwnHalfPasses,accurateOwnHalfPassesAgainst,accuratePasses,accuratePassesAgainst,aerialDuelsWon,assists,averageBallPossession,avgRating,awardedMatches,bigChances,bigChancesAgainst,bigChancesCreated,bigChancesCreatedAgainst,bigChancesMissed,bigChancesMissedAgainst,cleanSheets,clearances,clearancesAgainst,clearancesOffLine,corners,cornersAgainst,crossesSuccessfulAgainst,crossesTotalAgainst,dribbleAttempts,dribbleAttemptsTotalAgainst,dribbleAttemptsWonAgainst,duelsWon,errorsLeadingToGoal,errorsLeadingToGoalAgainst,errorsLeadingToShot,errorsLeadingToShotAgainst,fastBreakGoals,fastBreakShots,fastBreaks,fouls,freeKickGoals,freeKickShots,goalsConceded,goalsFromInsideTheBox,goalsFromOutsideTheBox,goalsScored,groundDuelsWon,headedGoals,hitWoodwork,hitWoodworkAgainst,interceptions,interceptionsAgainst,keyPassesAgainst,lastManTackles,leftFootGoals,longBallsSuccessfulAgainst,longBallsTotalAgainst,matches,offsides,offsidesAgainst,oppositionHalfPassesTotalAgainst,ownGoals,ownHalfPassesTotalAgainst,penaltiesCommited,penaltiesTaken,penaltyGoals,penaltyGoalsConceded,possessionLost,redCards,redCardsAgainst,rightFootGoals,saves,shots,shotsAgainst,shotsBlockedAgainst,shotsFromInsideTheBox,shotsFromInsideTheBoxAgainst,shotsFromOutsideTheBox,shotsFromOutsideTheBoxAgainst,shotsOffTarget,shotsOffTargetAgainst,shotsOnTarget,shotsOnTargetAgainst,successfulDribbles,tackles,tacklesAgainst,totalAerialDuels,totalCrosses,totalDuels,totalFinalThirdPassesAgainst,totalGroundDuels,totalLongBalls,totalOppositionHalfPasses,totalOwnHalfPasses,totalPasses,totalPassesAgainst,yellowCards,yellowCardsAgainst,yellowRedCards,id
-7,-831,97,2,-1713,633,-1082,642,-2769,5,-6,6,-0.009023261065899568,0,-16,6,-19,6,-16,7,0,-138,22,-2,47,-28,-26,-133,62,26,-29,40,0,5,2,0,-3,-3,-6,-22,1,-1,-8,1,1,-2,35,-4,-3,-1,-46,-20,-33,-1,8,-97,43,-1,2,25,-1812,-2,-1035,3,1,2,3,119,1,0,-2,14,22,-43,-21,-9,-22,31,-21,-10,-30,19,8,49,2,6,38,-2,26,-919,-12,230,115,591,708,-2714,-2,-12,2,9567882
-36,638,150,52,1045,-375,-1097,-287,-79,-139,5,-1,-0.011108548762800652,0,-7,7,-2,7,-6,5,-2,99,-112,1,-27,34,27,106,135,0,-16,-52,-3,-3,-2,-2,1,2,3,-16,2,4,6,2,0,3,87,2,-7,3,64,25,30,0,-3,-131,-389,0,11,31,1115,1,-1362,-1,-2,-1,-1,-211,1,-1,2,42,-76,51,15,-76,24,0,27,-9,-12,-17,48,59,48,106,-261,-27,-99,711,162,118,-323,-368,-664,-353,-1,-14,1,9567880
-30,1011,-54,-1336,1868,-726,1003,-2032,2820,-82,-11,-10,-0.13833051627710002,0,-5,1,1,-2,4,3,-6,109,-28,-2,-38,10,51,202,16,139,108,58,0,-4,1,0,-2,-2,-4,35,-1,-1,11,-17,-1,-19,140,-5,-10,4,135,-43,85,0,-9,32,-369,0,11,2,1922,0,980,2,-2,-2,1,-29,0,-1,-4,36,-172,89,13,-109,62,-63,27,-75,31,-65,45,23,125,15,-70,-26,226,1023,296,-24,-1410,-789,-2173,2700,3,-13,0,9567881
-1,-95,-18,-276,-321,-48,-190,-323,-515,34,-3,1,-0.2138285024154003,0,-1,5,-3,1,1,0,-2,-2,2,0,4,7,4,-3,9,12,-11,54,0,0,0,-1,-1,-5,-6,17,-2,1,5,-3,-1,-4,20,1,1,-1,1,7,7,0,-2,28,74,0,1,8,-330,0,-135,3,0,0,2,67,0,0,-3,6,-23,4,3,-5,18,-18,-14,-4,-10,-14,11,-4,14,13,55,-8,92,-135,37,-37,-216,-46,-254,-462,3,5,0,10100390
-54,362,-136,-809,512,-993,628,-1748,1108,-101,3,-7,-0.08520330578510027,0,10,20,8,18,7,13,-5,30,-49,-3,-15,41,32,72,41,-18,-24,36,2,1,0,1,1,3,4,-63,1,21,17,1,-1,-2,137,-7,10,7,-49,-63,96,0,0,81,-55,0,18,10,470,0,479,1,1,2,3,-142,-3,-2,8,30,-40,90,5,-44,84,4,6,-39,41,-5,44,54,-1,28,-158,-160,-80,328,78,-309,-969,-1054,-1865,877,-17,-3,-3,9578947
1,-204,102,-408,-475,378,-878,-31,-1327,-34,-4,4,0.036612684013200614,0,-3,4,-9,2,-10,5,-3,-96,11,1,-22,-6,-26,-67,-159,-133,-101,-135,0,0,-1,0,-1,-3,-4,-58,0,-5,-3,5,-3,0,-101,2,0,-6,23,-66,-16,1,-7,-88,-206,-1,0,28,-712,-1,-971,-2,8,6,-2,-453,-2,1,8,2,-53,-19,-3,-19,-13,-34,-6,-26,-17,-10,1,-94,-77,-109,-108,-14,-473,-282,-365,187,-570,338,-218,-1616,-11,11,-1,9584846
-30,715,-107,-1711,1468,-539,943,-2220,2362,32,-2,-11,-0.10338921282799962,0,-8,4,-10,4,-8,2,-1,211,-96,-4,-62,64,49,183,-32,39,51,-30,-1,-1,-2,-2,0,-5,-5,-6,0,-8,8,-2,1,-1,-62,-1,-7,-6,-24,-78,77,-1,-4,39,-38,1,8,0,1801,1,925,-2,1,1,-1,102,-1,2,2,20,-74,97,40,-36,43,-38,54,-30,34,-28,23,-34,32,-6,169,-41,133,906,-36,-11,-1722,-483,-2164,2543,-16,-9,2,9584843
-35,-551,83,796,-976,1235,-340,2066,-1287,-93,2,9,0.030918347783500444,0,18,6,5,2,12,6,1,-131,11,2,18,-32,-29,-141,65,-52,-18,-113,-2,5,1,5,2,6,7,6,0,2,-4,6,1,8,-20,0,5,-4,-52,45,-37,0,-3,-9,78,0,-5,25,-1161,1,-359,0,2,2,1,4,0,-2,11,6,-4,-44,-20,20,-34,-24,-10,-7,-34,10,10,43,-31,23,-131,-22,-138,-593,-7,24,823,1195,2067,-1379,4,0,-1,9555027
-5,354,87,410,773,1257,316,1672,1030,0,-7,1,0.027723300848600196,0,11,19,8,10,4,13,8,133,-18,2,1,59,59,172,-18,-22,-25,179,-1,1,-2,0,0,2,3,29,0,2,-4,-9,2,-6,179,-2,10,-9,-66,56,95,1,-3,-72,-80,3,14,11,1039,1,460,4,0,1,2,483,-2,0,-2,-4,6,108,61,-32,81,38,27,-25,54,-5,-7,50,56,42,64,4,292,503,228,27,665,1358,2019,1327,-8,7,0,9591655
13,-214,-163,-82,-174,-1185,388,-1280,240,57,7,-5,-0.0003424657534001341,0,2,-8,-2,-5,-3,-10,0,-66,67,-2,-12,-3,-26,-102,48,-2,21,80,0,1,0,1,-2,-8,-9,-15,0,-2,-3,9,-1,8,23,3,-4,3,-64,-8,-46,0,10,-64,-60,0,11,-20,-306,0,484,-3,0,0,-4,153,-1,-1,-6,-5,40,-47,-23,39,-53,1,6,13,-15,7,-9,33,9,22,108,73,161,-266,53,-176,-14,-1242,-1329,280,-10,-4,-1,10181868
4,114,17,400,228,598,257,994,462,19,-1,4,-0.0778243931675,0,3,2,2,3,3,2,0,34,48,1,16,17,23,56,32,25,19,72,-1,-1,0,1,-1,2,1,22,0,0,4,0,-1,-1,53,1,-2,1,26,34,31,0,0,36,93,2,4,2,378,1,322,0,1,0,0,269,1,0,-2,12,20,38,11,20,34,0,4,5,11,0,16,25,10,17,62,35,172,180,110,34,538,655,1158,644,5,1,0,10094424
-23,286,41,81,138,-513,132,-409,234,9,5,-3,0.03650504650700004,0,1,-22,0,-21,5,-13,3,31,-62,-1,-22,44,36,140,-21,-29,-22,-79,0,0,-1,2,1,7,8,-22,1,5,-16,-9,6,-4,-88,-1,0,-3,-91,-23,30,0,7,-37,-16,-1,38,-12,159,-5,185,-1,-2,-2,-3,-150,0,0,-9,6,26,24,16,0,7,26,17,20,14,0,-6,-4,-31,-17,51,-87,-92,181,-143,87,25,-591,-479,204,-13,-12,-1,10089499
8,125,-76,-1001,55,-429,-646,-1438,-597,78,-10,-3,-0.07609086389529995,0,-12,2,-4,6,-7,-2,0,124,-34,-2,-38,15,6,70,-103,-79,-30,-66,5,0,-1,1,-2,4,2,14,0,-12,7,-7,-6,-15,-144,3,-1,1,-21,-70,5,-1,-16,-39,49,-1,32,-3,174,0,-627,-4,-2,-1,-3,-90,0,-1,0,5,-65,29,0,-19,10,-46,19,-15,18,-33,11,-73,-36,-71,155,-5,-78,147,-233,-21,-1039,-408,-1442,-523,-14,-24,-1,10089500
7,-41,2,141,-288,-156,-180,-22,-466,27,2,4,0.16785714285710007,0,2,3,4,4,3,1,0,3,23,0,2,2,-2,15,36,30,7,68,-1,0,0,0,0,-1,-1,12,0,1,-1,0,0,0,41,0,2,0,8,-16,1,0,1,-3,25,0,-2,3,-269,0,-178,-2,-1,-1,-1,96,-1,0,-1,4,6,2,-4,5,-8,1,10,7,3,-2,3,10,26,12,33,19,104,-56,71,10,202,-147,36,-462,3,1,-1,10075306
-3,1,62,-30,67,-147,59,-174,121,-7,0,-2,0.10079365079359981,0,0,-3,0,-3,0,-3,1,-12,-4,0,-3,-3,5,-4,-4,-2,3,4,0,0,1,0,0,0,0,-9,0,1,-2,2,0,2,11,0,0,-1,-3,3,-7,0,3,9,-19,0,-1,-3,52,-1,39,0,3,1,0,-49,0,2,-1,-5,3,-10,-3,1,-10,2,0,-5,-1,4,-6,0,-2,-8,-7,-14,-9,-2,-2,68,-67,-129,-182,95,-3,-2,0,10075305
24,14,-16,683,24,-576,364,83,398,-32,8,-1,0.1786346153845999,0,10,-13,7,-6,3,-6,4,-30,137,-2,38,-20,-10,-72,-29,-44,-49,-58,1,-2,-1,-3,-3,0,-2,14,-1,0,-5,13,-5,7,-26,1,3,-3,18,45,10,-1,2,35,33,0,30,-34,-36,0,451,-2,5,3,-2,231,0,1,6,-1,69,1,10,52,-16,17,17,35,-1,12,-8,-18,-9,-22,-21,139,-104,-44,-83,-26,916,-627,150,487,3,-1,0,10181926
