accurateCrosses,accurateFinalThirdPassesAgainst,accurateLongBalls,accurateOppositionHalfPasses,accurateOppositionHalfPassesAgainst,accurateOwnHalfPasses,accurateOwnHalfPassesAgainst,accuratePasses,accuratePassesAgainst,aerialDuelsWon,assists,averageBallPossession,avgRating,awardedMatches,bigChances,bigChancesAgainst,bigChancesCreated,bigChancesCreatedAgainst,bigChancesMissed,bigChancesMissedAgainst,cleanSheets,clearances,clearancesAgainst,clearancesOffLine,corners,cornersAgainst,crossesSuccessfulAgainst,crossesTotalAgainst,dribbleAttempts,dribbleAttemptsTotalAgainst,dribbleAttemptsWonAgainst,duelsWon,errorsLeadingToGoal,errorsLeadingToGoalAgainst,errorsLeadingToShot,errorsLeadingToShotAgainst,fastBreakGoals,fastBreakShots,fastBreaks,fouls,freeKickGoals,freeKickShots,goalsConceded,goalsFromInsideTheBox,goalsFromOutsideTheBox,goalsScored,groundDuelsWon,headedGoals,hitWoodwork,hitWoodworkAgainst,interceptions,interceptionsAgainst,keyPassesAgainst,lastManTackles,leftFootGoals,longBallsSuccessfulAgainst,longBallsTotalAgainst,matches,offsides,offsidesAgainst,oppositionHalfPassesTotalAgainst,ownGoals,ownHalfPassesTotalAgainst,penaltiesCommited,penaltiesTaken,penaltyGoals,penaltyGoalsConceded,possessionLost,redCards,redCardsAgainst,rightFootGoals,saves,shots,shotsAgainst,shotsBlockedAgainst,shotsFromInsideTheBox,shotsFromInsideTheBoxAgainst,shotsFromOutsideTheBox,shotsFromOutsideTheBoxAgainst,shotsOffTarget,shotsOffTargetAgainst,shotsOnTarget,shotsOnTargetAgainst,successfulDribbles,tackles,tacklesAgainst,totalAerialDuels,totalCrosses,totalDuels,totalFinalThirdPassesAgainst,totalGroundDuels,totalLongBalls,totalOppositionHalfPasses,totalOwnHalfPasses,totalPasses,totalPassesAgainst,yellowCards,yellowCardsAgainst,yellowRedCards,id
-6,1263,-89,-3440,2374,-1441,1058,-4875,3402,-13,-25,-16,-0.3740867848600997,0,-43,37,-35,27,-20,12,-8,120,-81,2,-40,63,30,166,-24,89,58,12,-2,-1,1,6,1,-6,-5,-14,-1,-6,40,-32,-6,-37,25,-6,-5,4,22,-35,154,1,-14,196,139,1,-7,-12,2616,1,1051,6,-5,-5,4,203,0,0,-18,29,-110,190,56,-95,133,-15,57,-25,64,-58,70,-39,27,-27,92,-72,133,1339,41,50,-3307,-1410,-4645,3501,3,-10,1,9576461
-11,-575,-57,1443,-1760,673,-209,2127,-1979,25,4,9,0.08685148577740076,0,17,-2,13,5,13,-1,3,19,71,0,44,15,10,47,28,-34,-6,48,-4,0,-2,7,0,-6,-5,47,-1,5,-5,5,-1,4,23,0,1,1,63,54,-48,0,1,60,186,1,-7,10,-1563,-1,42,-4,2,2,-3,511,0,-1,3,7,41,-57,-38,28,-22,13,-35,4,-24,30,5,27,-17,19,108,45,195,-571,87,-31,1785,722,2462,-1568,-13,-3,0,10144889
-10,-28,150,1271,-287,1525,-441,2806,-700,-172,-9,7,0.18677407212219954,0,0,-17,-7,-18,3,-6,6,-42,15,-2,4,4,-28,-11,31,47,32,-70,-1,0,3,-2,-2,-5,-7,-68,1,-5,-27,-10,6,-3,102,-5,3,-7,-6,34,-41,0,2,-168,-355,0,17,8,-385,-1,-644,1,-1,0,2,-296,-1,1,-1,18,-17,-45,-16,-14,-25,-3,-20,-9,-21,-11,-8,49,58,-48,-348,-34,-323,-67,25,184,897,1738,2669,-1018,-2,15,-1,10144893
-8,-293,102,261,-746,1476,-1101,1745,-1835,-90,-10,9,-0.10509863776849926,0,5,20,-1,19,4,3,-5,-17,-9,1,-4,-25,-12,-87,78,102,53,-81,0,2,2,7,-3,3,0,46,1,-3,24,-7,1,-8,9,-2,11,2,52,39,65,0,8,-135,-57,1,16,6,-631,0,-1104,0,2,2,2,455,-1,1,-12,35,72,82,15,31,42,41,40,31,8,18,59,16,80,46,-63,33,92,-127,155,183,393,1734,2094,-1648,19,-8,-1,10144887
-28,-293,21,706,-905,-512,-121,222,-1051,-16,0,4,0.00297003065160073,0,15,3,8,-3,7,3,1,-17,23,0,-4,-10,25,14,51,89,44,120,-1,-4,-1,1,1,2,3,36,1,-1,-6,9,0,8,136,-4,-1,-6,-50,-1,-4,-1,0,-45,-38,0,22,0,-1097,-3,-99,1,3,4,-1,43,5,5,12,-8,-10,-11,8,4,10,-14,-21,-19,-8,8,-11,37,85,46,-42,-27,220,-488,262,-70,660,-581,106,-1210,7,-6,2,10089497
-14,286,-136,-209,394,-420,-31,-615,329,-89,6,-3,-0.02944440236319945,0,5,-11,-6,-9,-1,-7,-4,48,12,-1,-3,11,34,67,37,117,42,28,0,2,-2,1,1,6,7,-50,0,4,8,10,3,14,117,4,-9,-8,-25,46,44,0,7,-3,-48,0,3,-3,336,3,5,0,5,3,1,54,4,0,2,2,56,65,14,40,44,16,21,18,43,28,8,31,60,9,-149,-55,-35,247,114,-159,-209,-425,-579,274,5,16,2,10089498
3,-74,17,166,-106,175,65,338,-35,-20,0,10,-0.0008928571429001053,0,1,-1,0,0,2,0,0,-11,17,0,4,-14,-6,-18,-8,0,-9,-23,0,1,1,0,0,0,0,-5,1,1,0,-1,2,1,-3,1,0,-1,-15,-4,-16,0,0,-25,-53,0,2,-2,-166,0,81,0,0,0,0,-24,0,0,0,-9,17,-25,-10,9,-14,8,-11,10,-6,1,-9,-12,20,-12,-34,12,-63,-104,-29,13,193,146,327,-67,-4,-1,0,10157753
-11,-25,-87,-353,53,-155,336,-497,380,-26,1,-4,-0.03503209318919964,0,7,-12,4,-8,4,-10,-2,-21,-19,0,-9,2,9,-9,7,37,24,4,0,-3,1,-1,0,-3,-3,40,-1,-5,1,3,1,5,30,-3,1,8,60,-3,-2,0,-2,65,154,0,15,-6,48,1,472,-1,2,1,0,115,1,1,9,-9,-8,9,4,-16,11,8,-2,-6,13,10,-8,-14,55,1,-59,19,36,-46,95,-14,-295,-145,-459,529,6,-3,0,10181836
9,-1059,176,2252,-1813,1747,209,3990,-1553,-49,21,12,0.15789885297189965,0,41,-34,33,-24,17,-22,0,-127,81,-2,34,-32,-51,-149,82,-65,-49,36,0,3,2,-2,5,9,13,-17,0,-4,-4,22,3,27,85,4,-1,-8,-43,61,-111,0,6,-43,32,0,23,-23,-2058,2,232,-3,-3,-2,-3,-265,2,1,15,-46,77,-132,-18,71,-93,6,-39,25,-61,46,-53,75,-33,51,-227,-67,-156,-1235,71,13,2084,1674,3825,-1677,1,1,0,9603129
-2,129,4,228,120,391,188,621,320,34,6,0,0.09258012820510064,0,26,-41,17,-36,15,-29,3,79,-67,-1,-2,7,-12,79,-81,-15,-39,-65,0,-1,-2,-4,-1,1,0,-13,-1,-3,-15,9,-2,9,-99,1,-9,-2,-74,23,-9,0,4,4,12,0,22,-32,146,-1,79,-1,2,1,-1,-321,-1,6,3,1,-12,10,13,20,-25,-32,35,-9,12,2,-15,-53,-41,-65,-63,-145,-274,-17,-211,-27,122,301,568,146,13,11,2,9594674
13,-881,162,2937,-1811,1942,-1628,4866,-3391,-15,33,19,0.2728679322909997,0,55,-23,47,-13,28,-12,6,-201,68,-1,22,-57,-48,-211,232,-37,-54,134,-2,0,3,-3,4,0,4,-31,0,0,-20,33,5,38,149,3,11,-3,-41,47,-71,-1,9,-213,-246,0,11,13,-2233,-1,-1516,-8,1,1,-7,-74,-3,2,26,-13,33,-100,-24,58,-79,-25,-21,-11,-43,65,-33,141,5,137,-139,11,80,-1138,219,-13,2909,1755,4653,-3538,-19,-1,0,9620008
-106,1166,29,-5304,2274,-480,1000,-5678,3172,-69,-25,-18,-0.45718918918919993,0,-58,57,-40,41,-40,38,-15,318,-387,3,-105,117,102,332,-141,128,91,-124,3,-1,4,-1,0,1,1,44,1,-3,43,-33,2,-33,-55,-8,-5,13,-2,-114,160,0,-17,144,-176,0,-23,29,2550,0,698,2,-2,-1,1,-385,2,2,-5,51,-260,218,47,-227,161,-33,57,-93,75,-85,96,-98,35,-77,45,-334,53,1362,8,257,-5781,-263,-5710,2916,9,-5,1,9564382
-5,802,279,62,550,450,-1473,517,-939,-103,-15,4,-0.06791063342789982,0,-33,11,-25,6,-17,5,-11,34,-59,-2,-30,30,16,55,51,-67,-47,-175,0,-5,3,4,-1,0,-2,-120,1,-3,23,-20,-3,-25,-72,-3,-1,5,-52,13,141,0,-3,-117,-401,-1,13,-8,251,1,-1664,-3,-2,-2,-2,-437,2,6,-17,48,-43,132,17,-66,79,23,53,-1,47,-26,68,35,-112,-86,-123,-71,-441,621,-318,303,-204,369,236,-1468,-13,13,1,9564986
9,-117,-4,177,-261,-47,-219,121,-477,3,-2,12,0.03083333333329996,0,-1,-3,0,-4,0,-3,0,-25,58,0,25,-7,-3,-17,9,-7,-15,11,1,0,-1,0,1,1,2,-14,0,4,-1,-3,0,-3,8,0,0,1,-28,8,-10,1,-3,-21,11,0,-1,7,-338,-1,-196,0,0,0,0,-8,0,0,0,-1,7,-11,0,5,-4,2,-7,0,-10,0,-1,12,-13,0,-2,46,-20,-168,-18,-35,238,-94,98,-517,-4,6,0,10048580
6,-129,32,164,-181,198,-54,356,-236,7,0,12,0.23095238095239967,0,2,-2,-1,-1,0,2,1,-9,28,0,1,2,1,-10,14,-22,-11,25,-1,1,-2,0,0,0,0,-8,0,-1,-5,1,0,1,18,-1,0,1,-7,-3,-5,0,1,-43,-50,0,3,0,-205,0,-56,0,2,1,0,54,0,0,1,0,3,-14,-1,8,-9,-5,-5,-5,-7,5,-6,12,-10,14,6,31,18,-135,12,48,167,211,347,-251,-4,2,0,10048595
6,47,3,98,1,-72,-115,20,-121,18,0,3,-0.040000000000000036,0,-2,3,-1,2,0,1,0,-1,-3,0,-1,5,7,10,24,-19,-7,25,1,-1,1,-2,0,0,0,-3,-1,-4,2,-4,0,-4,7,0,5,0,2,10,8,0,0,-2,-10,0,4,5,12,0,-148,0,-1,-1,0,2,0,0,-4,6,9,21,1,11,16,-2,5,3,12,-1,8,9,-12,11,16,16,26,53,10,8,73,-59,-2,-146,-2,-3,0,10048590
59,-1579,-93,-272,-3213,-2393,-1615,-2724,-4760,374,-6,4,-0.017672278396100083,0,18,13,14,3,19,11,-1,-219,366,-2,49,-35,-68,-296,-23,44,20,366,5,-1,-1,5,-2,0,0,65,0,4,-4,-11,-3,-12,-8,-6,2,-7,59,0,-143,2,-7,-88,321,-1,-10,27,-2970,-2,-1249,0,0,0,-1,1060,6,-2,0,-67,131,-162,-29,122,-96,9,-66,78,-61,14,-72,-24,29,-38,567,270,592,-1404,25,9,652,-2451,-2069,-3923,5,-10,1,9591928
13,141,261,1795,47,2732,-1139,4514,-1089,-105,2,12,0.1123919252553005,0,9,-26,9,-21,6,-14,0,129,64,-1,9,-30,-3,8,-52,-59,-27,-206,2,4,6,1,1,6,7,-87,0,1,-8,4,1,3,-101,-3,-2,5,-66,12,-9,2,3,-86,-237,0,6,-41,-86,2,-1269,-4,-2,-1,-5,-243,-5,-2,5,-21,35,5,34,38,-38,-3,43,19,2,4,-31,-41,-37,25,-224,99,-403,72,-179,270,1583,2790,4274,-1363,-19,12,-3,9604137
37,-617,175,1037,-853,1384,-50,2384,-857,-77,21,9,0.17623181716909997,0,27,-25,21,-23,18,-11,3,-254,-56,-1,18,-39,-46,-131,92,30,12,46,-1,5,2,2,-2,0,-2,7,2,12,-10,19,3,23,123,6,1,-3,13,46,-70,0,11,-165,-181,0,4,-9,-1071,1,-44,2,0,1,0,-170,-1,0,5,-22,155,-80,-15,91,-59,64,-21,78,-32,51,-33,43,19,69,-254,-3,-39,-804,215,95,949,1308,2260,-984,-3,8,-2,9595192
-52,-22,-106,-863,399,-2018,262,-2829,662,205,1,-8,-0.09032042541590002,0,3,13,0,11,3,2,0,2,159,-1,-14,-9,-1,-32,-54,116,72,190,-2,0,-3,-1,1,0,1,61,0,-8,-1,1,-2,-2,-15,1,-5,5,46,-3,-19,0,8,33,325,0,-6,21,727,-1,518,2,-3,-2,2,743,-1,-2,-10,11,-59,-39,-20,-33,-13,-26,-26,-38,-30,-6,11,-46,21,0,400,-99,515,109,115,82,-186,-2055,-2142,1277,21,-15,0,9595170
-37,64,115,427,819,1350,1319,1814,2110,-71,8,0,0.0588886849029997,0,5,11,16,8,3,7,-3,-111,-62,1,6,45,28,51,192,21,24,27,-2,0,3,4,1,1,2,-139,1,-7,4,1,2,3,98,-1,0,-2,-21,-37,51,-1,11,-230,-572,0,-16,-33,357,1,1036,3,-6,-5,0,-754,-1,-4,-7,19,-40,74,36,-21,41,-19,33,-5,15,-28,23,89,0,62,-239,-99,-189,-172,50,-125,-121,1263,1241,1342,-29,8,-2,9672139
75,-101,43,-129,-255,-1808,-424,-2012,-695,129,5,-2,0.11875675336099967,0,25,-4,16,-5,4,-1,4,-49,167,4,19,7,16,60,-113,-78,-12,-56,-1,-1,2,-1,2,1,3,57,1,-7,-4,13,0,14,-185,9,-5,-2,-63,-68,16,0,-11,-209,-294,-1,-11,18,-424,-2,-434,1,3,2,1,-154,-2,4,15,0,48,-4,-7,65,-7,-17,3,2,2,27,1,-81,-26,-92,88,217,-153,-253,-241,2,9,-1941,-2149,-918,19,-13,-2,9567874
-9,-122,70,167,-792,-516,-1151,-340,-1942,115,12,3,-0.0718967058661999,0,19,-11,10,-17,14,-9,-2,-40,180,-1,45,-2,-1,16,-57,6,8,118,4,2,0,1,3,3,5,111,0,4,9,13,0,13,3,6,-2,-4,-73,22,-35,0,-3,104,351,1,13,-16,-618,3,-970,2,1,1,2,572,-1,0,10,-27,93,-18,7,71,-21,22,3,37,-3,31,-22,-40,-11,1,111,36,223,-99,112,321,639,-518,85,-1604,7,23,0,9567875
44,-683,122,-188,-1277,547,-631,315,-1856,36,4,4,0.026161699711200193,0,10,-6,12,-7,10,0,1,-24,-3,-2,13,-22,-52,-71,26,29,15,115,-3,0,0,-1,-3,1,-3,16,-1,-2,-5,1,-3,-1,79,0,0,-5,11,-29,-111,0,-8,18,95,0,-63,48,-1246,-1,-487,-3,-1,-1,0,262,0,0,5,-36,54,-113,-18,38,-59,16,-54,51,-54,3,-41,19,73,3,95,81,220,-709,125,338,112,597,628,-1662,-1,-8,2,9567876
37,955,-115,-3391,2090,-2002,976,-5430,3033,-14,-11,-15,-0.11077493070869959,0,-36,0,-22,6,-16,-9,-2,195,-28,1,-18,61,33,181,-219,-16,-7,-153,1,1,2,0,-2,-4,-6,46,-2,-6,14,-25,1,-23,-139,7,-8,1,31,-129,92,-1,-19,146,-162,-1,-10,19,2085,0,736,4,-10,-10,5,-525,0,1,-12,11,-110,104,41,-87,46,-23,58,-39,35,-49,28,-106,-6,-260,-51,122,-414,956,-363,123,-3516,-2012,-5650,2640,25,-13,-1,9567877
14,100,65,320,-15,255,521,561,515,11,15,0,0.11746144664019997,0,18,-41,12,-35,6,-34,2,103,-121,0,-41,-6,-9,141,42,-23,-29,60,-2,-5,-1,-2,0,5,5,59,-2,-4,-6,20,-2,15,49,8,0,-3,27,53,-88,0,3,305,335,0,-11,-2,69,0,537,-3,2,1,-2,-169,0,3,8,-22,-1,-72,0,28,-70,-29,-2,4,-44,6,-28,9,-16,38,-69,-110,42,116,111,75,19,364,493,465,2,8,0,9567878
-14,-623,152,1834,-936,1644,-851,3492,-1743,128,10,9,0.22419203376420072,0,17,-23,13,-13,9,-12,7,-54,20,-1,-9,-32,-44,-91,-63,-122,-76,-11,-2,0,-4,-2,-1,1,0,-66,0,-1,-34,14,-4,13,-139,10,11,-4,-41,3,-135,-1,-2,-77,80,-1,22,-26,-1047,-4,-682,-3,1,1,-2,-128,0,1,2,-24,3,-166,-32,5,-117,-2,-49,13,-80,23,-54,-30,-112,-36,99,13,-217,-843,-316,75,1864,1604,3455,-1638,-16,5,-1,9567879
